id,code,site_number,fac_type,fac_use,faa_region,faa_dist,city,county,state,full_name,own_type,longitude,latitude,elevation,aero_cht,cbd_dist,cbd_dir,act_date,cert,fed_agree,cust_intl,c_ldg_rts,joint_use,mil_rts,cntl_twr,major
1,ADK,50009.*A,AIRPORT,PU,AAL,NONE,ADAK ISLAND,ALEUTIAN ISLANDS,AK,ADAK,MN,-176.640000,51.870000,18,W ALEUTIAN ISLS,0,W,,BS 05/1973,,N,N,N,Y,N,Y
2,AKK,50016.1*A,AIRPORT,PU,AAL,NONE,AKHIOK,KODIAK,AK,AKHIOK,PU,-154.180000,56.930000,44,KODIAK,1,SW,,,NGY,N,N,,Y,N,N
3,Z13,50017.*A,AIRPORT,PU,AAL,NONE,AKIACHAK,BETHEL,AK,AKIACHAK,PU,-161.420000,60.900000,25,MC GRATH,0,SE,,,N,N,N,N,Y,N,N
4,KKI,50017.1*C,SEAPLANE BASE,PU,AAL,NONE,AKIACHAK,BETHEL,AK,AKIACHAK,PU,-161.430000,60.900000,18,MC GRATH,0,S,,,,N,N,N,N,N,N
5,AKI,50020.*A,AIRPORT,PU,AAL,NONE,AKIAK,BETHEL,AK,AKIAK,PU,-161.220000,60.900000,22,MC GRATH,0,SW,,,N1,N,N,N,Y,N,N
6,KQA,50022.*C,SEAPLANE BASE,PU,AAL,NONE,AKUTAN,ALEUTIAN ISLANDS,AK,AKUTAN,PU,-165.780000,54.130000,0,DUTCH HARBOR,0,S,,,N,N,N,N,N,N,N
7,AUK,50024.1*A,AIRPORT,PU,AAL,NONE,ALAKANUK,WADE HAMPTON,AK,ALAKANUK,PU,-164.650000,62.680000,10,BETHEL,1,SW,,,N,N,N,N,Y,N,N
8,Z25,50027.51*A,AIRPORT,PU,AAL,NONE,ALEKNAGIK,BRISTOL BAY,AK,TRIPOD,PU,-158.550000,59.260000,225,KODIAK,2,SE,,,,N,N,N,N,N,N
9,Z33,50027.52*C,SEAPLANE BASE,PU,AAL,NONE,ALEKNAGIK,BRISTOL BAY,AK,ALEKNAGIK,PR,-158.620000,59.270000,7,KODIAK,0,NW,,,,N,N,N,N,N,N
10,5A8,50027.53*A,AIRPORT,PU,AAL,NONE,ALEKNAGIK,BRISTOL BAY,AK,ALEKNAGIK /NEW/,PU,-158.610000,59.280000,66,KODIAK,1,E,,,,,,,Y,N,N
11,Z35,50027.6*A,AIRPORT,PR,AAL,NONE,ALEKNAGIK,BRISTOL BAY,AK,ALEKNAGIK MISSION SCHOOL,PR,-158.590000,59.280000,150,KODIAK,1,NE,,,,N,N,N,N,N,N
12,6A8,50029.1*A,AIRPORT,PU,AAL,NONE,ALLAKAKET,YUKON-KOYUKUK,AK,NEW ALLAKAKET,PU,-152.620000,66.550000,504,FAIRBANKS,2,NNW,10/1999,,NGY,,,,,N,N
13,AFM,50029.61*A,AIRPORT,PU,AAL,NONE,AMBLER,NORTHWEST ARCTIC,AK,AMBLER,PU,-157.850000,67.100000,289,FAIRBANKS,1,N,,,NGY,N,N,,Y,N,N
14,AK80,50031.*A,AIRPORT,PR,AAL,NONE,AMERICAN CREEK,YUKON-KOYUKUK,AK,AMERICAN CREEK,PU,-151.170000,65.100000,500,FAIRBANKS,0,N,,,,N,N,N,N,N,N
15,AK81,50031.5*C,SEAPLANE BASE,PR,AAL,NONE,AMOOK BAY,KODIAK,AK,AMOOK BAY,PR,-153.810000,57.470000,0,KODIAK,0,N,,,,N,N,N,N,N,N
