code,name,nickname
AA,American Airlines,American
AQ,Aloha Airlines,Aloha
AS,Alaska Airlines,Alaska
B6,Jetblue Airways,Jetblue
CO,Continental Airlines,Continental
DH,Atlantic Coast Airlines,Atlantic Coast
DL,Delta Air Lines,Delta
EV,Atlantic Southeast Airlines,Atlantic Southeast
FL,Airtran Airways Corporation,Airtran
HA,Hawaiian Airlines,Hawaiian
HP,America West Airlines,America West
MQ,American Eagle Airlines,American Eagle
NW,Northwest Airlines,Northwest
OH,Comair (Delta Connections),Comair
OO,Sky West Airlines,Sky West
RU,Continental Express Airlines,Continental Express
TW,Trans World Airlines,TWA
TZ,"American Trans Air, Inc.",ATA
UA,United Airlines,United
US,US Airways,USAir
WN,Southwest Airlines,Southwest
